Experiment; Time; X; Y; Z
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,00; 0,00; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,10; 0,00; 0,30; 0,20
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,20; 0,00; 0,30; 0,38
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,30; 0,00; 0,30; 0,56
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,40; 0,00; 0,30; 0,56
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,50; 0,00; 0,30; 0,74
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,60; 0,00; 0,30; 0,90
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,70; 0,00; 0,30; 1,06
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,80; 0,00; 0,30; 1,21
Complete Physics Engine - Flat Grass Terrain - Slow z; 0,90; 0,00; 0,30; 1,35
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,00; 0,00; 0,30; 1,48
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,10; 0,00; 0,30; 1,61
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,20; 0,00; 0,30; 1,73
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,30; 0,00; 0,30; 1,73
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,40; 0,00; 0,30; 1,83
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,50; 0,00; 0,30; 1,94
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,60; 0,00; 0,30; 2,03
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,70; 0,00; 0,30; 2,12
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,80; 0,00; 0,30; 2,20
Complete Physics Engine - Flat Grass Terrain - Slow z; 1,90; 0,00; 0,30; 2,27
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,00; 0,00; 0,30; 2,33
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,10; 0,00; 0,30; 2,38
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,20; 0,00; 0,30; 2,43
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,30; 0,00; 0,30; 2,47
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,40; 0,00; 0,30; 2,50
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,50; 0,00; 0,30; 2,52
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,60; 0,00; 0,30; 2,54
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,70; 0,00; 0,30; 2,55
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,80; 0,00; 0,30; 2,55
Complete Physics Engine - Flat Grass Terrain - Slow z; 2,90; 0,00; 0,30; 2,55
